airline,flight_number,departure_airport,arrival_airport,departure_iata,arrival_iata,departure_time,arrival_time,status
China Southern Airlines,3157,Shenzhen,Beijing Daxing International Airport,SZX,PKX,2025-07-30 17:30:00+00:00,2025-07-30 20:50:00+00:00,scheduled
China Southern Airlines,6890,Shenzhen,Urumqi,SZX,URC,2025-07-30 17:25:00+00:00,2025-07-30 23:00:00+00:00,scheduled
Shenzhen Airlines,9529,Shenzhen,Shanghai Pudong International,SZX,PVG,2025-07-30 17:25:00+00:00,2025-07-30 20:00:00+00:00,scheduled
Xiamen Airlines,8378,Shenzhen,Shanghai Hongqiao International,SZX,SHA,2025-07-30 17:25:00+00:00,2025-07-30 19:50:00+00:00,scheduled
Air China LTD,4314,Shenzhen,Shuangliu,SZX,CTU,2025-07-30 17:25:00+00:00,2025-07-30 20:10:00+00:00,scheduled
Hainan Airlines,7747,Shenzhen,Taiyuan,SZX,TYN,2025-07-30 17:20:00+00:00,2025-07-30 20:10:00+00:00,scheduled
Fuzhou Airlines,6652,Shenzhen,Kunming,SZX,KMG,2025-07-30 17:20:00+00:00,2025-07-30 19:40:00+00:00,scheduled
China Southern Airlines,3963,Shenzhen,Qingdao,SZX,TAO,2025-07-30 17:15:00+00:00,2025-07-30 20:30:00+00:00,scheduled
Shenzhen Airlines,9507,Shenzhen,Shanghai Hongqiao International,SZX,SHA,2025-07-30 17:10:00+00:00,2025-07-30 19:35:00+00:00,scheduled
Shenzhen Airlines,8983,Shenzhen,Lijiang,SZX,LJG,2025-07-30 17:10:00+00:00,2025-07-30 20:00:00+00:00,scheduled
PLAY Europe,214,Sydney Bankstown,Williamtown,BWU,NTL,2025-07-30 12:30:00+00:00,2025-07-30 12:52:00+00:00,landed
Qatar Airways,3607,El Prat De Llobregat,Nantes Atlantique,BCN,NTE,2025-07-30 08:05:00+00:00,2025-07-30 09:40:00+00:00,scheduled
Lufthansa,1103,W. A. Mozart,Frankfurt International Airport,SZG,FRA,2025-07-30 10:30:00+00:00,2025-07-30 11:35:00+00:00,scheduled
Thai Airways International,7827,W. A. Mozart,Frankfurt International Airport,SZG,FRA,2025-07-30 10:30:00+00:00,2025-07-30 11:35:00+00:00,scheduled
Austrian,7249,W. A. Mozart,Frankfurt International Airport,SZG,FRA,2025-07-30 10:30:00+00:00,2025-07-30 11:35:00+00:00,scheduled
ANA,7937,W. A. Mozart,Frankfurt International Airport,SZG,FRA,2025-07-30 10:30:00+00:00,2025-07-30 11:35:00+00:00,scheduled
Air Canada,9219,Frankfurt International Airport,Hamburg Airport,FRA,HAM,2025-07-30 08:00:00+00:00,2025-07-30 09:05:00+00:00,active
Air Dolomiti,8852,Frankfurt International Airport,Peretola,FRA,FLR,2025-07-30 08:00:00+00:00,2025-07-30 09:40:00+00:00,active
Lufthansa,6910,Frankfurt International Airport,Peretola,FRA,FLR,2025-07-30 08:00:00+00:00,2025-07-30 09:40:00+00:00,active
Air China LTD,6475,Frankfurt International Airport,Peretola,FRA,FLR,2025-07-30 08:00:00+00:00,2025-07-30 09:40:00+00:00,active
Alitalia,7401,Frankfurt International Airport,Peretola,FRA,FLR,2025-07-30 08:00:00+00:00,2025-07-30 09:40:00+00:00,active
Air Canada,7356,Frankfurt International Airport,Peretola,FRA,FLR,2025-07-30 08:00:00+00:00,2025-07-30 09:40:00+00:00,active
Lufthansa,1058,Frankfurt International Airport,Cote D'azur International Airport,FRA,NCE,2025-07-30 07:55:00+00:00,2025-07-30 09:25:00+00:00,active
United Airlines,9200,Frankfurt International Airport,Cote D'azur International Airport,FRA,NCE,2025-07-30 07:55:00+00:00,2025-07-30 09:25:00+00:00,active
ANA,5416,Frankfurt International Airport,Cote D'azur International Airport,FRA,NCE,2025-07-30 07:55:00+00:00,2025-07-30 09:25:00+00:00,active
Air Canada,9372,Frankfurt International Airport,Cote D'azur International Airport,FRA,NCE,2025-07-30 07:55:00+00:00,2025-07-30 09:25:00+00:00,active
Air Dolomiti,8116,Frankfurt International Airport,Zurich,FRA,ZRH,2025-07-30 07:55:00+00:00,2025-07-30 08:50:00+00:00,active
SWISS,4815,Frankfurt International Airport,Zurich,FRA,ZRH,2025-07-30 07:55:00+00:00,2025-07-30 08:50:00+00:00,active
Lufthansa,6906,Frankfurt International Airport,Zurich,FRA,ZRH,2025-07-30 07:55:00+00:00,2025-07-30 08:50:00+00:00,active
Elangeni,,Frankfurt International Airport,Cote D'azur International Airport,FRA,NCE,2025-07-30 07:51:00+00:00,2025-07-30 09:20:00+00:00,active
Lufthansa,986,Frankfurt International Airport,Schiphol,FRA,AMS,2025-07-30 07:50:00+00:00,2025-07-30 09:00:00+00:00,active
United Airlines,9147,Frankfurt International Airport,Schiphol,FRA,AMS,2025-07-30 07:50:00+00:00,2025-07-30 09:00:00+00:00,active
